ItemGenre	DetailType	ParticularType	ÎåÐÐÊôÐÔ	µÈ¼¶	ÒøÁ½	¸£Ôµ	Í­Ç®	»ý·Ö	½ð±Ò	¹±Ï×¶È	ÈÙÓþµã	½ð±Ò»ý·Ö	½ð±Ò¹ºÎï·µ»¹µÄ½ð±Ò»ý·Ö	Í³Ò»¼Û¸ñ»õ±ÒÀàÐÍ	Í³Ò»¼Û¸ñ½ð¶î	ÊÇ·ñ×ö½»Ò×¼ÇÂ¼	ÉÌÆ·ÏÖ¼Û	´ÙÏú¿ªÊ¼Ê±¼ä	´ÙÏú½áÊøÈÕÆÚ	ÏúÊÛ¿ªÊ¼Ê±¼ä	ÏúÊÛ½áÊøÈÕÆÚ	±£ÖµÆÚ£¨·ÖÖÓ£¬ÏÖÊµÊ±¼ä£©	Ê¹ÓÃÆÚ£¨·ÖÖÓ£¬ÔÚÏßÊ±¼ä£©	ÏûºÄÀàÐÍ(0-Ò»´Î;1-ÎÞÏÞ´Î)	µÀ¾ßÃû³Æ£¨±ØÐë·Å×îºó£¬³ÌÐò²»¶Á£©
1	0	0	0	1	50											0									½ð´´Ò©£¨Ð¡£©
1	0	0	0	2	100											0									½ð´´Ò©£¨ÖÐ£©
1	0	0	0	3	250											0									½ð´´Ò©£¨´ó£©
1	0	0	0	4	500											0									»ØÌìµ¤
1	0	0	0	5	2000											0									¾Å×ª»¹»êµ¤
1	1	0	0	1	50											0									ÄýÉñµ¤£¨Ð¡£©
1	1	0	0	2	100											0									ÄýÉñµ¤£¨ÖÐ£©
1	1	0	0	3	250											0									ÄýÉñµ¤£¨´ó£©
1	1	0	0	4	500											0									´ó²¹É¢
1	1	0	0	5	2000											0									Ê×ÎÚ»¹Éñµ¤
1	2	0	0	1	80											0									³ÐÏÉÃÛ£¨Ð¡£©
1	2	0	0	2	150											0									³ÐÏÉÃÛ£¨ÖÐ£©
1	2	0	0	3	375											0									³ÐÏÉÃÛ£¨´ó£©
1	2	0	0	4	750											0									ÆßÇÉ²¹ÐÄµ¤
1	2	0	0	5	3000											0									Îå»¨ÓñÂ¶Íè
1	3	0	0	1	50											0									Èý»¨É¢
1	3	0	0	2	50											0									¼¦ÍÈ
1	3	0	0	3	50											0									±äÖÊÔÂ±ý
1	3	0	0	4	100											0									È«¹ûÍè
1	3	0	0	5	100											0									È«¹ûÍè
1	4	0	0	1	10											0									ÇàÅ£½â¶¾É¢
1	4	0	0	2	20											0									Þ½ÏãÕýÆøÍè
1	4	0	0	3	50											0									ÈýË³É¢
1	4	0	0	4	100											0									ÒøÇÌÈ¥¶¾µ¤
1	4	0	0	5	200											0									ÁúÑÓ»¯¶¾µ¤
0	0	0	4	1	100											0									ÌúØ°Ê×
0	0	0	4	2	1200											0									¸Ö½£
0	0	0	4	3	2700											0									Çà·å½£
0	0	0	4	4	4800											0									ÁúÈª½£
0	0	0	4	5	7500											0									Õ¶Âí½£
0	0	0	4	6	10800											0									ÎÚ½ð½£
0	0	0	4	7	15000											0									³Ýîò
0	0	0	4	8	20000											0									Æß³ß½£
0	0	0	4	9	25000											0									ÍòØð½£
0	0	0	4	10	30000											0									ÐþÌú½£
0	0	1	3	1	100											0									Ñüµ¶
0	0	1	3	2	1200											0									µ¥µ¶
0	0	1	3	3	2700											0									¹íÍ·µ¶
0	0	1	3	4	4800											0									Ñãôáµ¶
0	0	1	3	5	7500											0									ÔÂÑÀµ¶
0	0	1	3	6	10800											0									ÆÆ·çµ¶
0	0	1	3	7	15000											0									¹öÖé±¦µ¶
0	0	1	3	8	20000											0									ÙÈÔÂµ¶
0	0	1	3	9	25000											0									ÇàÁúµ¶
0	0	1	3	10	30000											0									´ó·çµ¶
0	0	2	0	1	100											0									ÉÕ»ð¹÷
0	0	2	0	2	1500											0									ÆëÃ¼¹÷
0	0	2	0	3	3000											0									ÅÌ»¨¹÷
0	0	2	0	4	5000											0									»¢Î²¹÷
0	0	2	0	5	7500											0									ÉÚ°ô
0	0	2	0	6	10000											0									¸Ë°ô
0	0	2	0	7	15000											0									ÀÇÑÀ°ô
0	0	2	0	8	21000											0									»ìÌú°ô
0	0	2	0	9	28000											0									½Áº£°ô
0	0	2	0	10	36000											0									½ð¹¿°ô
0	0	3	2	1	100											0									ÌúÇ¹
0	0	3	2	2	1500											0									³¤Ç¹
0	0	3	2	3	3000											0									µã¸ÖÇ¹
0	0	3	2	4	5000											0									¹³Á­Ç¹
0	0	3	2	5	7500											0									»·×ÓÇ¹
0	0	3	2	6	10000											0									±ªÎ²Ç¹
0	0	3	2	7	15000											0									ÑãôáÇ¹
0	0	3	2	8	21000											0									Í¸¹ÇÇ¹
0	0	3	2	9	28000											0									»ð¼âÇ¹
0	0	3	2	10	36000											0									ÆÆÌìêª
0	0	4	0	1	100											0									ËâÍ·´¸
0	0	4	0	2	1200											0									°ËÀâ´¸
0	0	4	0	3	2700											0									ÎåÐÇ´¸
0	0	4	0	4	4500											0									Åùö¨´¸
0	0	4	0	5	7500											0									ÁÁÒø´¸
0	0	4	0	6	9000											0									ÀÇÑÀ´¸
0	0	4	0	7	13500											0									ÁÑÐÄ´¸
0	0	4	0	8	20000											0									½ð¹Ï´¸
0	0	4	0	9	27000											0									ÄõÁú´¸
0	0	4	0	10	32000											0									ÆÆÌì´¸
0	0	5	2	1	100											0									¶ëáÒ´Ì
0	0	5	2	2	1200											0									ïÙÌúË«µ¶
0	0	5	2	3	2700											0									ÔÂÑÀ´Ì
0	0	5	2	4	4800											0									ºÚ°×Ë«µ¶
0	0	5	2	5	7500											0									Ñ©»¨ÁÁÒøµ¶
0	0	5	2	6	10800											0									Ô§Ñìµ¶
0	0	5	2	7	15000											0									Ü½ÈØµ¶
0	0	5	2	8	20000											0									ºûµûË«µ¶
0	0	5	2	9	25000											0									ÇïÓêµ¶
0	0	5	2	10	30000											0									ÍÌÈÕÕ¶
0	1	0	1	1	20											0									½ðÇ®ïÚ
0	1	0	1	2	30											0									ÉÙÁÖÔæÈÊïÚ
0	1	0	1	3	40											0									Ñà×ÓïÚ
0	1	0	1	4	60											0									Ê®×ÖïÚ
0	1	0	1	5	80											0									ÁøÒ¶ïÚ
0	1	0	1	6	100											0									·É»ÈïÚ
0	1	0	1	7	140											0									ÉÙÁÖÁÁÒø·ÉïÚ
0	1	0	1	8	180											0									ºûµûïÚ
0	1	0	1	9	250											0									½ðïÚ
0	1	0	1	10	330											0									°ÔÍõïÚ
0	1	1	1	1	20											0									·Éµ¶
0	1	1	1	2	30											0									¸Ö·Éµ¶
0	1	1	1	3	40											0									ÁøÒ¶µ¶
0	1	1	1	4	60											0									ÑãÎ²µ¶
0	1	1	1	5	80											0									´øÒÂµ¶
0	1	1	1	6	100											0									ÌÒ»¨µ¶
0	1	1	1	7	140											0									¹â¸Ëµ¶
0	1	1	1	8	180											0									ÐÄÒâµ¶
0	1	1	1	9	300											0									¶¾»úµ¶
