√˚≥∆	ItemGenre	DetailType	ParticularType	∂Øª≠Œƒº˛√˚	∂‘”¶ŒÔº˛À˜“˝	øÌ∂»	∏ﬂ∂»	Àµ√˜Œƒ◊÷	ŒÂ–– Ù–‘	º€∏Ò	µ»º∂	 «∑Òµ˛∑≈	ª˘¥° Ù–‘1¿‡–Õ	ª˘¥° Ù–‘1◊Ó–°÷µ	ª˘¥° Ù–‘1◊Ó¥Û÷µ	ª˘¥° Ù–‘2¿‡–Õ	ª˘¥° Ù–‘2◊Ó–°÷µ	ª˘¥° Ù–‘2◊Ó¥Û÷µ	ª˘¥° Ù–‘3¿‡–Õ	ª˘¥° Ù–‘3◊Ó–°÷µ	ª˘¥° Ù–‘3◊Ó¥Û÷µ	ª˘¥° Ù–‘4¿‡–Õ	ª˘¥° Ù–‘4◊Ó–°÷µ	ª˘¥° Ù–‘4◊Ó¥Û÷µ	ª˘¥° Ù–‘5¿‡–Õ	ª˘¥° Ù–‘5◊Ó–°÷µ	ª˘¥° Ù–‘5◊Ó¥Û÷µ	ª˘¥° Ù–‘6¿‡–Õ	ª˘¥° Ù–‘6◊Ó–°÷µ	ª˘¥° Ù–‘6◊Ó¥Û÷µ	ª˘¥° Ù–‘7¿‡–Õ	ª˘¥° Ù–‘7◊Ó–°÷µ	ª˘¥° Ù–‘7◊Ó¥Û÷µ	–Ë«Û Ù–‘1¿‡–Õ	–Ë«Û Ù–‘1 ˝÷µ	–Ë«Û Ù–‘2¿‡–Õ	–Ë«Û Ù–‘2 ˝÷µ	–Ë«Û Ù–‘3¿‡–Õ	–Ë«Û Ù–‘3 ˝÷µ	–Ë«Û Ù–‘4¿‡–Õ	–Ë«Û Ù–‘4 ˝÷µ	–Ë«Û Ù–‘5¿‡–Õ	–Ë«Û Ù–‘5 ˝÷µ	–Ë«Û Ù–‘6¿‡–Õ	–Ë«Û Ù–‘6 ˝÷µ	ƒß∑® Ù–‘À˜“˝1	ƒß∑® Ù–‘À˜“˝2	ƒß∑® Ù–‘À˜“˝3	ƒß∑® Ù–‘À˜“˝4	ƒß∑® Ù–‘À˜“˝5	ƒß∑® Ù–‘À˜“˝6	À˘‘⁄Ã◊◊∞
MÈng Long Ph∏p Qu∏n	0	7	0	\spr\item\equip\cap\obj-ma-cap03-2.spr	28	2	2	Trang bﬁ Hoµng Kim	4	99999	10	0	30	360	360	31	60	60																36	50	32	280										130					1
MÈng Long GiÌi Sam	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	Trang bﬁ Hoµng Kim	3	99999	10	0	30	720	720	31	60	60																36	90	32	280									1	96	53	39	92	174	1
MÈng Long Nhuy‘n Thao	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bﬁ Hoµng Kim	1	99999	10	0	30	160	160	31	60	60																36	80	32	135									4	31	53	35	90	155	1
MÈng Long HÈ Uy”n	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bﬁ Hoµng Kim	2	99999	10	0	30	135	135	31	60	60																36	99	32	110									46	170	133	70	65	171	1
MÈng Long T®ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bﬁ Hoµng Kim	0	99999	10	0	30	160	160	31	60	60																36	85	32	135									1	27	56	103	65		1
PhÙc Ma ßÂng C´n	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang bﬁ Hoµng Kim	2	99999	10	0	28	69	69	29	128	128	31	60	60													36	99	32	180									1	133	47	51	110	70	2
PhÙc Ma GiÌi Sam	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	Trang bﬁ Hoµng Kim	0	99999	10	0	30	630	630	31	60	60																36	95	32	260									92	176	96	39	175	173	2
PhÙc Ma Nhuy‘n Thao	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	Trang bﬁ Hoµng Kim	4	99999	10	0	30	140	140	31	60	60																36	80	32	110									4	31	65	35	90	155	2
PhÙc Ma HÈ Uy”n	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bﬁ Hoµng Kim	3	99999	10	0	30	115	115	31	60	60																36	50	32	90										130					2
PhÙc Ma T®ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bﬁ Hoµng Kim	1	99999	10	0	30	140	140	31	60	60																36	85	32	110									1	43	67	103	90		2
T˚ Kh´ng Uy ßao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bﬁ Hoµng Kim	2	99999	10	0	28	40	40	29	114	114	31	60	60													36	99	32	135									1	59	47	133	113	70	3
T˚ Kh´ng GiÌi Sam	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	Trang bﬁ Hoµng Kim	0	99999	10	0	30	500	500	31	60	60																36	95	32	210									92	179	96	39	178	176	3
T˚ Kh´ng Nhuy‘n Thao	0	6	1	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Trang bﬁ Hoµng Kim	4	99999	10	0	30	100	100	31	60	60																36	80	32	85									4	31	62	35	90	155	3
T˚ Kh´ng HÈ Uy”n	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bﬁ Hoµng Kim	3	99999	10	0	30	90	90	31	60	60																36	85	32	80									2	27	56	43	6	60	3
