Num	Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	TaskValue
100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
500	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1000	Tö Thñy Tinh	0	4	239	1	0	1	0	10000
1000	Lam Thñy Tinh	0	4	238	1	0	1	0	10000
1000	Lôc Thñy Tinh	0	4	240	1	0	1	0	10000
1000	§¹i Thµnh BÝ KÝp 90	0	6	1	2424	0	1	0	10000
1100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1400	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
8000	An Bang B¨ng Tinh Th¹ch H¹ng Liªn	1	164	0	0	0	1	0	10000
8000	An Bang Kª HuyÕt Th¹ch Giíi ChØ 	1	167	0	0	0	1	0	10000
8000	An Bang §iÒn Hoµng Th¹ch Ngäc Béi	1	166	0	0	0	1	0	10000
8000	An Bang Cóc Hoa Th¹ch ChØ hoµn	1	165	0	0	0	1	0	10000
1600	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1700	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1800	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
1900	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2000	Tinh Hång B¶o Th¹ch	0	4	353	1	0	1	0	10000
2100	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2200	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
2300	Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
